epoch,acc,loss,lr,val_acc,val_loss
0,0.36777768886043533,1.7368149102573665,0.001,0.43130000000000002,1.6216489322662353
1,0.5079301505927587,1.3546660291350296,0.001,0.55789999999999995,1.2288593872070313
2,0.58725168215315604,1.1526851727388792,0.001,0.60119999999999996,1.1733879577636719
3,0.64394424863825694,1.0047093662303519,0.001,0.60429999999999995,1.192108180809021
4,0.69516981736622874,0.87082849691709396,0.001,0.68979999999999997,0.94472134819030762
5,0.72560877923742395,0.78493555670783755,0.001,0.7228,0.79933937768936159
6,0.75056071771867994,0.71033442417653236,0.001,0.69799999999999995,0.94262770843505861
7,0.77411086190323619,0.65144504986295182,0.001,0.77090000000000003,0.67866389455795284
8,0.78927026594040373,0.60228559496081135,0.001,0.73819999999999997,0.76727291254997254
9,0.80503043896187121,0.55995942951585576,0.001,0.73960000000000004,0.7868048533916473
10,0.81694569048381926,0.52547576239536065,0.001,0.78680000000000005,0.62524067668914796
11,0.82649791733418776,0.49663748612429842,0.001,0.78939999999999999,0.62405753130912778
12,0.837512015379686,0.46771989717425461,0.001,0.78390000000000004,0.66185899829864503
13,0.84806552387055434,0.43718252532262902,0.001,0.80079999999999996,0.5881051456451416
14,0.85555511054149314,0.41592422989995309,0.001,0.79010000000000002,0.64856588268280024
15,0.86362544056392176,0.39467239942316901,0.001,0.80200000000000005,0.58792377605438229
16,0.86690964434476125,0.38021522869249447,0.001,0.84350000000000003,0.45562692556381224
17,0.87520025632809995,0.35759935810450599,0.001,0.82589999999999997,0.53441339883804317
18,0.87972604934315923,0.34708585570310024,0.001,0.8377,0.502354924249649
19,0.88487263697532847,0.33036409613032708,0.001,0.84199999999999997,0.47288061084747313
20,0.91537167574495359,0.24479965783013474,0.000316228,0.88249999999999995,0.35565461783409119
21,0.92280118551746237,0.22181178904886009,0.000316228,0.88060000000000005,0.35867251123189925
22,0.92554469721243193,0.20857759827950259,0.000316228,0.88580000000000003,0.35007004408836367
23,0.92954982377443129,0.19989029613873471,0.000316228,0.88549999999999995,0.35207921602725983
24,0.93245354053188079,0.18956568503906926,0.000316228,0.88029999999999997,0.38212062764167787
25,0.93601810317206025,0.18309773615979491,0.000316228,0.88739999999999997,0.36302247114181518
26,0.94695209868631847,0.15001818879565074,0.0001,0.89429999999999998,0.34397730515003205
27,0.94991589234219798,0.14305715013661854,0.0001,0.89710000000000001,0.33828880088329316
28,0.95169817366228771,0.13645009527825003,0.0001,0.8962,0.34608140056133269
29,0.95303989106055753,0.13513951555959158,0.0001,0.89690000000000003,0.33941121401786806
30,0.95466196731816721,0.1284613855128218,0.0001,0.89690000000000003,0.34771392297744752
31,0.95952819609099649,0.11617160768023442,3.16228e-05,0.89980000000000004,0.34248386757373811
32,0.95852691445049665,0.11871522479773866,3.16228e-05,0.89810000000000001,0.34293435543775558
33,0.96008891380967643,0.11509192830923848,1e-05,0.89900000000000002,0.34281419345140457
34,0.96026914450496637,0.11270445367295709,1e-05,0.89980000000000004,0.3432385439157486
35,0.96070970842678627,0.11263949335700463,3.16228e-06,0.8992,0.34330727682113649
36,0.96271227170778595,0.11051380042033256,3.16228e-06,0.89959999999999996,0.34351479425430298
37,0.95978852931752645,0.11179974759209427,1e-06,0.89929999999999999,0.3428626885652542
38,0.96010893944248643,0.11323196035223448,1e-06,0.89970000000000006,0.3426231384277344
39,0.96191124639538605,0.11143799484950616,5e-07,0.89959999999999996,0.34262901085615161
40,0.96139057994232613,0.1098760274924918,5e-07,0.90010000000000001,0.3429961062550545
41,0.96097004165331623,0.11255060598726878,5e-07,0.90000000000000002,0.34294611996412278
42,0.96179109259852613,0.11121382324507854,5e-07,0.89970000000000006,0.34280826580524443
43,0.96115027234860617,0.11174482218407927,5e-07,0.90000000000000002,0.34253186905384064
44,0.96269224607497594,0.10837227992059348,5e-07,0.89939999999999998,0.3425966105341911
45,0.96141060557513613,0.10989282985517169,5e-07,0.89939999999999998,0.34283622912168504
46,0.9612504005126562,0.11146033642403555,5e-07,0.89949999999999997,0.34261874904632567
47,0.96183114386414614,0.10939701258162206,5e-07,0.89970000000000006,0.34251785441637039
48,0.96095001602050623,0.11146632350267451,5e-07,0.89970000000000006,0.3425511789917946
49,0.96203140019224609,0.10967597225486984,5e-07,0.90000000000000002,0.34323233121633528
50,0.96153075937199617,0.11092383558696296,5e-07,0.89929999999999999,0.34341723716259004
51,0.96086991348926631,0.11052228538071793,5e-07,0.89939999999999998,0.34267858099937437
52,0.96129045177827621,0.11231040823410926,5e-07,0.89980000000000004,0.34329743740558627
53,0.9616909644344761,0.10917440200751502,5e-07,0.9002,0.34308797777891159
54,0.95950817045818648,0.11308571000758634,5e-07,0.89990000000000003,0.34324838471412661
55,0.96054950336430633,0.10997913039693157,5e-07,0.90010000000000001,0.34318029360771179
56,0.96225168215315604,0.10947532306799175,5e-07,0.89970000000000006,0.34360428097248075
57,0.96189122076257605,0.10931979233410373,5e-07,0.89959999999999996,0.34334133404493333
58,0.96277234860621597,0.10842974720542456,5e-07,0.89980000000000004,0.34264005392789842
